NAICS Code ,NAICS Description,Beazley Classification 
44413,Hardware Stores ,Retail
44419,Other Building Material Dealers ,Retail
44421,Outdoor Power Equipment Stores ,Retail
44422,Nursery & Garden Centers ,Retail
44511,Grocery (except Convenience) Stores ,Retail
44512,Convenience Stores ,Retail
44521,Meat Markets ,Retail
44522,Fish & Seafood Markets ,Retail
44523,Fruit & Vegetable Markets ,Retail
44529,Other Specialty Food Stores ,Retail
445291,Baked Goods Stores ,Retail
445292,Confectionery & Nut Stores ,Retail
445299,All Other Specialty Food Stores ,Retail
44531,"Beer, Wine & Liquor Stores ",Retail
44611,Pharmacies & Drug Stores ,Retail
44612,"Cosmetics, Beauty Supplies & Perfume Stores ",Retail
44619,Other Health & Personal Care Stores ,Retail
446191,Food (Health) Supplement Stores ,Retail
446199,All Other Health & Personal Care Stores ,Retail
44811,Men's Clothing Stores ,Retail
44812,Women's Clothing Stores ,Retail
44813,Children's & Infants' Clothing Stores ,Retail
44814,Family Clothing Stores ,Retail
44815,Clothing Accessories Stores ,Retail
44819,Other Clothing Stores ,Retail
44821,Shoe Stores ,Retail
44831,Jewelry Stores ,Retail
44832,Luggage & Leather Goods Stores ,Retail
45111,Sporting Goods Stores ,Retail
45112,"Hobby, Toy & Game Stores ",Retail
45113,"Sewing, Needlework & Piece Goods Stores ",Retail
45114,Musical Instrument & Supplies Stores ,Retail
45121,Book Stores & News Dealers ,Retail
451211,Book Stores ,Retail
451212,News Dealers & Newsstands ,Retail
45122,"Prerecorded Tape, CD & Record Stores ",Retail
45211,Department Stores ,Retail
45291,Warehouse Clubs & Superstores ,Retail
45299,All Other General Merchandise Stores ,Retail
45311,Florists ,Retail
45321,Office Supplies & Stationery Stores ,Retail
45322,"Gift, Novelty & Souvenir Stores ",Retail
45331,Used Merchandise Stores ,Retail
45391,Pet & Pet Supplies Stores ,Retail
45392,Art Dealers ,Retail
45393,Manufactured (Mobile) Home Dealers ,Retail
45399,All Other Miscellaneous Store Retailers ,Retail
453991,Tobacco Stores ,Retail
453998,All Other Misc Store Retailers (exc Tobacco) ,Retail
45411,Electronic Shopping & Mail-Order Houses ,Retail
45421,Vending Machine Operators ,Retail
45431,Fuel Dealers ,Retail
454311,Heating Oil Dealers ,Retail
454312,Liquefied Petroleum Gas (Bottled Gas) Dealers ,Retail
454319,Other Fuel Dealers ,Retail
45439,Other Direct Selling Establishments ,Retail
56161,"Investigation, Guard & Armored Car Services ",Security
561611,Investigation Services ,Security
561612,Security Guards & Patrol Services ,Security
561613,Armored Car Services ,Security
56162,Security Systems Services ,Security
561621,"Security Systems Services, (except Locksmiths) ",Security
51412,Libraries & Archives ,Leisure
51421,Data Processing Services ,Service
56141,Document Preparation Services ,Service
56142,Telephone Call Centers ,Service
561421,Telephone Answering Services ,Service
561422,Telemarketing Bureaus ,Service
56143,Business Service Centers ,Service
561431,Private Mail Centers ,Service
561439,Oth Business Service Centers (incl Copy Shops) ,Service
56149,Other Business Support Services ,Service
561492,Court Reporting & Stenotype Services ,Service
561499,All Other Business Support Services ,Service
56151,Travel Agencies ,Service
56152,Tour Operators ,Service
56159,Oth Travel Arrangement & Reservation Services ,Service
561591,Convention and Visitors Bureaus ,Service
561599,All Oth Travel Arrange & Reservation Services ,Service
561622,Locksmiths ,Service
56171,Exterminating & Pest Control Services ,Service
56172,Janitorial Services ,Service
56173,Landscaping Services ,Service
56174,Carpet & Upholstery Cleaning Services ,Service
56179,Other Services to Buildings & Dwellings ,Service
56191,Packaging & Labeling Services ,Service
56192,Convention & Trade Show Organizers ,Service
56199,All Other Support Services ,Service
56211,Waste Collection ,Service
562111,Solid Waste Collection ,Service
562112,Hazardous Waste Collection ,Service
562119,Other Waste Collection ,Service
56221,Waste Treatment & Disposal ,Service
562211,Hazardous Waste Treatment & Disposal ,Service
562212,Solid Waste Landfill ,Service
562213,Solid Waste Combustors & Incinerators ,Service
562219,Other Nonhazardous Waste Treatment & Disposal ,Service
56291,Remediation Services ,Service
56292,Materials Recovery Facilities ,Service
56299,All Other Waste Management Services ,Service
562991,Septic Tank & Related Services ,Service
562998,All Other Miscellaneous Waste Management ,Service
71211,Museums ,leisure
71212,Historical Sites ,Leisure
71213,Zoos & Botanical Gardens ,Leisure
71219,Nature Parks & Other Similar Institutions ,Leisure
81121,Electronic & Precision Equipment R&M ,Service
811211,Consumer Electronics R&M ,Service
811212,Computer & Office Machine R&M ,Service
811213,Communication Equipment R&M ,Service
811219,Other Electronic & Precision Equipment R&M ,Service
81131,Commercial Equipment (exc Auto & Elec) R&M ,Service
81141,Home/Garden Equipment & Appliance R&M ,Service
811411,Home & Garden Equipment R&M ,Service
811412,Appliance R&M ,Service
81142,Reupholstery & Furniture Repair ,Service
81143,Footwear & Leather Goods Repair ,Service
81149,Other Personal & Household Goods R&M ,Service
81211,"Hair, Nail & Skin Care Services ",Personal Care
812111,Barber Shops ,Personal Care
812112,Beauty Salons ,Personal Care
812113,Nail Salons ,Service
81219,Other Personal Care Services ,Personal Care
812199,Other Personal Care Services ,Personal Care
81221,Funeral Homes ,Personal Care
81222,Cemeteries & Crematories ,Personal Care
81231,Coin-Operated Laundries & Drycleaners ,Service
81232,Drycleaning & Laundry Services (exc Coin-Op) ,Service
81233,Linen & Uniform Supply ,Service
812331,Linen Supply ,Service
812332,Industrial Launderers ,Service
81291,Pet Care (except Veterinary) Services ,Service
81292,Photofinishing ,Service
812921,Photofinishing Laboratories (except One-Hour),Service
812922,One-Hour Photofinishing ,Service
81293,Parking Lots & Garages ,Service
81299,All Other Personal Services ,Service
31161,Animal Slaughtering & Processing ,Processing
311611,Animal (except Poultry) Slaughtering ,Processing
49311,General Warehousing & Storage ,Storage
49312,Refrigerated Warehousing & Storage ,Storage
49313,Farm Product Warehousing & Storage ,Storage
49319,Other Warehousing & Storage ,Storage
48111,Scheduled Air Transportation ,Distributor
481111,Scheduled Passenger Air Transportation ,Transportation
481112,Scheduled Freight Air Transportation ,Distributor
48121,Nonscheduled Air Transportation ,Distributor
481211,Nonscheduled Chartered Passenger Air Trans ,Transportation
481212,Nonscheduled Chartered Freight Air Trans ,Distributor
481219,Other Nonscheduled Air Transportation ,Distributor
48211,Rail Transportation ,Transportation
482111,Line-Haul Railroads ,Distributor
482112,Short Line Railroads ,Distributor
48311,"Deep Sea, Coastal & Great Lakes Water Trans ",Distributor
483111,Deep Sea Freight Transportation ,Distributor
483112,Deep Sea Passenger Transportation ,Transportation
483113,Coastal & Great Lakes Freight Transportation ,Distributor
483114,Coastal & Great Lakes Passenger Trans ,Distributor
48321,Inland Water Transportation ,Distributor
483211,Inland Water Freight Transportation ,Distributor
483212,Inland Water Passenger Transportation ,Distributor
48411,"General Freight Trucking, Local ",Trucking
48412,"General Freight Trucking, Long-Distance ",Trucking
484121,"General Freight Trucking, Long-Distance, TL ",Trucking
484122,"General Freight Trucking, Long-Distance, LTL ",Trucking
48421,Used Household & Office Goods Moving ,Trucking
48422,"Specialized Frgt (exc Used) Trucking, Local ",Trucking
48423,"Specialized Frgt (exc Used) Trucking, LDist ",Trucking
48511,Urban Transit Systems ,Transportation
485111,Mixed Mode Transit Systems ,Transportation
485112,Commuter Rail Systems ,Transportation
485113,Bus & Other Motor Vehicle Transit Systems ,Transportation
485119,Other Urban Transit Systems ,Transportation
48521,Interurban & Rural Bus Transportation ,Transportation
48531,Taxi Service ,Transportation
48532,Limousine Service ,Transportation
48551,Charter Bus Industry ,Transportation
48599,Oth Transit & Ground Passenger Transportation ,Transportation
485991,Special Needs Transportation ,Transportation
485999,All Other Transit & Ground Passenger Trans ,Transportation
48691,Pipeline Trans of Refined Petroleum Products ,Distributor
48699,All Other Pipeline Transportation ,Distributor
48711,"Scenic & Sightseeing Transportation, Land ",Transportation
48721,"Scenic & Sightseeing Transportation, Water ",Transportation
48799,"Scenic & Sightseeing Transportation, Other ",Transportation
48811,Airport Operations ,Service
488111,Air Traffic Control ,Transportation
488119,Other Airport Operations ,Service
48819,Other Air Transportation Support Activities ,Service
48821,Rail Transportation Support Activities ,Service
48831,Port & Harbor Operations ,Service
48832,Marine Cargo Handling ,Distributor
48833,Navigational Services to Shipping ,Service
48839,Other Water Transportation Support Activities ,Service
48841,Motor Vehicle Towing ,Service
48849,Other Road Transportation Support Activities ,Service
48851,Freight Transportation Arrangement ,Distributor
48899,Other Transportation Support Activities ,Service
488991,Packing & Crating ,Distributor
488999,All Other Transportation Support Activities ,Service
49111,Postal Service,Distributor
49211,Couriers ,Distributor
49221,Local Messengers & Local Delivery ,Distributor
22111,Electric Power Generation ,Utilities
221111,Hydroelectric Power Generation ,Utilities
221112,Fossil Fuel Electric Power Generation ,Utilities
221113,Nuclear Electric Power Generation ,Utilities
221119,Other Electric Power Generation ,Utilities
22112,"Electric Pwr Transmsn, Control & Distribution ",Utilities
221121,Electric Bulk Power Transmission & Control ,Utilities
221122,Electric Power Distribution ,Utilities
22121,Natural Gas Distribution ,Utilities
22131,Water Supply & Irrigation Systems ,Utilities
22132,Sewage Treatment Facilities ,Utilities
22133,Steam & Air-Conditioning Supply ,Utilities
54194,Veterinary Services ,Veterinary
42113,Tire & Tube Whsle ,Wholesale
42121,Furniture Whsle ,Wholesale
42122,Home Furnishing Whsle ,Wholesale
42131,"Lumber, Plywood, Millwork & Wood Panel Whsle ",Wholesale
42132,Brick & Related Construction Material Whsle ,Wholesale
42133,"Roofing, Siding & Insulation Material Whsle ",Wholesale
42139,Other Construction Material Whsle ,Wholesale
42141,Photographic Equipment & Supplies Whsle ,Wholesale
42142,Office Equipment Whsle ,Wholesale
42143,Computer & Peripheral Equip & Software Whsle ,Wholesale
42144,Other Commercial Equipment Whsle ,Wholesale
42145,Medical/Dental/Hospital Equip & Supp Whsle ,Wholesale
42146,Ophthalmic Goods Whsle ,Wholesale
42149,Oth Professional Equipment & Supplies Whsle ,Wholesale
42151,Metal Service Centers & Offices ,Wholesale
42152,Coal & Other Mineral & Ore Whsle ,Wholesale
42161,Elec Equip/Wiring Supp/Const Material Whsle ,Wholesale
42162,Electric Appliance/TV/Radio Set Whsle ,Wholesale
42169,Other Electronic Parts & Equipment Whsle ,Wholesale
42171,Hardware Whsle ,Wholesale
42172,Plumbing & Heating Equipment & Supplies Whsle ,Wholesale
42173,Warm Air Heating & AC Equip & Supplies Whsle ,Wholesale
42174,Refrigeration Equipment & Supplies Whsle ,Wholesale
42181,Const & Mining (exc Petroleum) Equip Whsle ,Wholesale
42182,Farm & Garden Machinery & Equipment Whsle ,Wholesale
42183,Industrial Machinery & Equipment Whsle ,Wholesale
42184,Industrial Supplies Whsle ,Wholesale
42185,Service Establishment Equip & Supplies Whsle ,Wholesale
42186,Transportation Equip/Supplies(exc MV) Whsle ,Wholesale
42191,Sporting & Recreational Goods & Supply Whsle ,Wholesale
42192,Toy & Hobby Goods & Supplies Whsle ,Wholesale
42193,Recyclable Material Whsle ,Wholesale
42194,Jewelry/Watch/Precious Stone & Metal Whsle ,Wholesale
42199,Other Miscellaneous Durable Goods Whsle ,Wholesale
42211,Printing & Writing Paper Whsle,Wholesale
42212,Stationery & Office Supplies Whsle ,Wholesale
42213,Industrial & Personal Service Paper Whsle ,Wholesale
42221,Drugs & Druggists' Sundries Whsle ,Wholesale
42231,"Piece Goods, Notions & Other Dry Goods Whsle ",Wholesale
42232,Men's & Boys' Clothing & Furnishings Whsle ,Wholesale
42233,Women's/Children's/Infants' Clothing Whsle ,Wholesale
42234,Footwear Whsle ,Wholesale
42241,General Line Grocery Whsle ,Wholesale
42242,Packaged Frozen Food Whsle ,Wholesale
42243,Dairy Product (exc Dried or Canned) Whsle ,Wholesale
42244,Poultry & Poultry Product Whsle ,Wholesale
42245,Confectionery Whsle ,Wholesale
42246,Fish & Seafood Whsle ,Wholesale
42247,Meat & Meat Product Whsle ,Wholesale
42248,Fresh Fruit & Vegetable Whsle ,Wholesale
42249,Other Grocery & Related Products Whsle ,Wholesale
42251,Grain & Field Bean Whsle ,Wholesale
42252,Livestock Whsle ,Wholesale
42259,Other Farm Product Raw Material Whsle ,Wholesale
42261,Plastics Materials & Basic Forms/Shapes Whsle ,Wholesale
42269,Other Chemical & Allied Products Whsle ,Wholesale
42271,Petroleum Bulk Stations & Terminals ,Wholesale
42272,Petroleum Prod Whsle (exc Bulk Sta/Terminals) ,Wholesale
42281,Beer & Ale Whsle ,Wholesale
42282,Wine & Distilled Alcoholic Beverage Whsle ,Wholesale
42291,Farm Supplies Whsle ,Wholesale
42292,"Book, Periodical & Newspaper Whsle ",Wholesale
42293,Flower/Nursery Stock/Florists' Supplies Whsle ,Wholesale
42294,Tobacco & Tobacco Product Whsle ,Wholesale
42295,"Paint, Varnish & Supplies Whsle ",Wholesale
42299,Other Miscellaneous Nondurable Goods Whsle ,Wholesale
